DateTime,AddedIPs,RemovedIPs
1599838202,118,0
1599841801,106,0
1599845402,102,0
1599849002,142,0
1599853503,113,0
1599857101,73,0
1599860702,78,0
1599867902,171,0
1599871502,86,2754
1599875101,99,0
1599878702,76,0
1599885901,187,0
1599889501,91,0
1599893102,77,0
1599896702,172,0
1599903902,272,0
1599907502,126,0
1599914702,200,0
1599919202,140,0
1599922802,97,0
1599926403,106,0
1599930002,82,0
1599933602,84,0
1599937202,93,0
1599944402,173,0
1599951602,131,0
1599955203,61,2983
1599958802,108,0
1599962402,130,0
1599966002,91,0
1599970501,121,0
1599974101,103,0
1599977702,108,0
1599981302,127,0
1599988501,227,0
1599992101,88,0
1599995702,108,0
1600002902,189,0
1600006502,104,0
1600010102,133,0
1600013701,110,0
1600017302,79,0
1600020902,66,0
1600025402,125,0
1600029002,80,0
1600032602,105,0
1600039802,169,0
1600047002,150,2370
1600054202,217,0
1600057801,95,0
1600061401,86,0
1600065002,122,0
1600072201,287,0
1600075802,161,0
1600080302,149,0
1600083902,152,0
1600087502,176,0
1600091103,160,0
1600094702,220,0
1600101902,309,0
1600109102,260,0
1600116301,218,0
1600119902,115,0
1600123502,107,0
1600127102,113,0
1600130702,89,2163
1600134302,133,0
1600142402,269,0
1600146003,124,0
1600149602,99,0
1600153202,142,0
1600156802,114,0
1600164002,333,0
1600171202,247,0
1600178402,282,0
1600185602,266,0
1600189202,124,0
1600192802,153,0
1600196402,153,0
1600200902,146,0
1600204502,79,0
1600211701,151,0
1600218902,190,2680
1600221603,71,0
1600225202,67,0
1600228802,105,0
1600229703,22,0
1600233302,71,0
1600236902,130,0
1600240502,131,0
1600247702,244,0
1600251301,118,0
1600254901,139,0
1600259401,166,0
1600263001,160,0
1600266602,166,0
1600273802,222,0
1600281002,216,0
1600284602,88,0
1600288201,92,0
1600291802,153,0
1600295401,105,0
1600299002,90,0
1600303501,80,3112
1600307102,104,0
1600310702,120,0
1600314302,158,0
1600317902,134,0
1600321502,132,0
1600325102,135,0
1600328701,137,0
1600332302,122,0
1600335902,124,0
1600343102,280,0
1600346702,145,0
1600350302,176,0
1600353902,121,0
1600361102,282,0
1600365602,97,0
1600369202,88,0
1600372802,118,0
1600376402,98,0
1600380002,83,0
1600383602,118,0
1600387202,74,2786
1600390803,121,0
1600394403,128,0
1600398002,106,0
1600402501,139,0
1600406102,131,0
1600413301,276,0
1600416902,132,0
1600420501,107,0
1600424102,158,0
1600427702,104,0
1600431301,144,0
1600434902,170,0
1600438502,124,0
1600445702,203,0
1600449302,124,0
1600452901,155,0
1600457402,106,0
1600461002,98,0
1600464601,85,0
1600468202,74,0
1600471802,100,0
1600475402,77,2984
1600479002,125,0
1600482601,120,0
1600489801,217,0
1600493402,141,0
1600500602,269,0
1600504202,142,0
1600508702,173,0
1600512302,177,0
1600515902,163,0
1600519502,146,0
1600523102,146,0
1600530302,224,0
1600537501,450,1
1600544702,288,0
1600551902,183,0
1600559101,171,0
1600562702,73,2763
1600566303,102,0
1600569902,96,0
1600573502,100,0
1600577102,76,0
1600584302,188,0
1600588802,80,0
1600592402,80,0
1600596003,81,0
1600599602,117,0
1600603202,78,0
1600606802,110,0
1600610402,121,0
1600614002,111,0
1600617603,75,0
1600624802,202,0
1600632002,236,0
1600635602,82,0
1600639202,71,0
1600646402,149,3116
1600650002,73,0
1600653602,99,0
1600657202,115,0
1600661703,155,0
1600665302,102,0
1600668902,127,0
1600672502,125,0
1600676102,127,0
1600679702,135,0
1600686902,248,0
1600691401,168,0
1600695002,155,0
1600698601,212,0
1600705802,262,0
1600709402,110,0
1600713002,137,0
1600716602,121,0
1600720202,126,0
1600723802,205,0
1600731002,193,0
1600734602,83,2017
1600739102,186,0
1600742702,133,0
1600746302,130,0
1600749902,115,0
1600757102,202,0
1600760701,108,0
1600764302,130,0
1600767902,123,0
1600775102,220,0
1600779601,192,0
1600783203,167,0
1600786802,130,0
1600790402,122,0
1600794003,99,0
1600797602,98,0
1600801202,110,0
1600804802,121,0
1600808402,97,0
1600812002,104,0
1600815603,71,0
1600822802,118,2949
1600830002,167,0
1600833602,109,0
1600840802,193,0
1600844402,145,0
1600848003,109,0
1600855202,230,0
1600863302,245,0
1600870501,264,0
1600874101,118,0
1600881302,204,0
1600885801,140,0
1600889401,71,0
1600893002,64,0
1600896601,86,0
1600900202,92,0
1600907402,168,2789
1600911002,95,0
1600914602,88,0
1600918201,101,0
1600921802,115,0
1600925402,96,0
1600929001,134,0
1600932602,117,0
1600936203,119,0
1600939802,117,0
1600947002,333,0
1600950601,134,0
1600955102,162,0
1600958702,126,0
1600962302,89,0
1600965902,103,0
1600969502,89,0
1600973102,133,0
1600980302,158,0
1600987502,128,0
1600991101,73,0
1600994702,68,2467
1600998301,115,0
1601005502,193,0
1601010002,118,0
1601013602,120,0
1601017202,144,1
1601020802,129,0
1601028002,231,0
1601035203,239,0
1601042402,288,0
1601046003,117,0
1601049603,118,0
1601053202,90,0
1601061302,220,0
1601068502,152,0
1601075702,132,0
1601082902,144,2608
1601086502,123,0
1601093702,267,0
1601097301,144,0
1601101802,149,0
1601105402,108,0
1601109002,101,0
1601112602,115,0
1601116202,81,0
1601119801,122,0
1601123402,129,0
1601127001,115,0
1601130601,72,0
1601137802,259,0
1601141402,114,0
1601145002,81,0
1601149501,107,0
1601153102,79,0
1601156702,76,0
1601160302,65,0
1601168402,192,2552
1601172002,101,0
1601175602,87,0
1601179202,116,0
1601182802,85,0
1601186402,97,0
1601190001,84,0
1601193602,73,0
1601197202,96,0
1601200802,78,0
1601204402,87,0
1601208902,132,0
1601216102,185,0
1601219702,80,0
1601223302,80,0
1601226901,71,0
1601234102,155,0
1601237702,67,0
1601244902,122,0
1601248502,51,0
1601252101,74,2656
1601256602,80,0
1601260202,78,0
1601263802,103,0
1601267402,88,0
1601274601,208,0
1601278202,123,0
1601281802,134,0
1601285402,131,0
1601292602,716,0
1601297101,174,0
1601300702,118,0
1601304302,149,0
1601307901,160,0
1601311501,109,0
1601315101,93,0
1601322303,169,0
1601325901,67,0
1601329502,54,0
1601333102,88,0
1601336701,54,0
1601343902,173,1999
1601347501,85,0
1601355602,270,0
1601359203,136,0
1601362802,145,0
1601366402,127,0
1601370002,122,0
1601377202,208,0
1601380802,124,0
1601384403,149,0
1601388002,119,0
1601391602,172,0
1601395202,132,0
1601398802,113,0
1601402402,171,0
1601406002,134,0
1601409602,124,0
1601413202,105,0
1601416802,118,0
1601420402,268,0
1601424002,93,2890
1601427602,89,0
